query,intent,brand,model,year,sensor
frequency of Traction battery errors Zeekr,anomaly_info,Zeekr,7X,2024,Traction battery
check Jiyue ADAS Camera database health,system_status_check,Jiyue,07,2025,ADAS Camera
who working on Lynk & Co TPMS right now?,access_governance,Lynk & Co,05,2020,TPMS
what is NVH for Zeekr?,data_definition,Zeekr,001,2021,NVH
same info but for Polestar Polestar 4,contextual_followups,Polestar,Polestar 4,2025,Noise and Vibration
compare NVH between 05 and EM90,comparative_analysis,Lynk & Co,05,2024,NVH
is HV battery more accurate in 07 or 01?,comparative_analysis,Jiyue,07,2025,HV battery
for Z10 what Traction battery info exists?,data_definition,Lynk & Co,Z10,2025,Traction battery
frequency of Trunk sensor errors Jiyue,anomaly_info,Jiyue,07,2024,Trunk sensor
erratic TPMS data in XC60,anomaly_info,Volvo,XC60,2025,TPMS
check Volvo Vision system database health,system_status_check,Volvo,EM90,2024,Vision system
Noise and Vibration performance Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2024,Noise and Vibration
Show me outliers for Noise and Vibration in 05,anomaly_info,Lynk & Co,05,2025,Noise and Vibration
meqn NVH across Geely Auto fleet,statistical_query,Geely Auto,Starray,2025,NVH
What are the peaks of Autonomous sensor in Polestar Polestar 5?,statistical_query,Polestar,Polestar 5,2025,Autonomous sensor
who is owner Acoustics data?,access_governance,Zeekr,X,2024,Acoustics
hv battery glitching on 03 tcr,anomaly_info,Lynk & Co,03 TCR,2019,HV battery
who working on Lynk & Co Tyrr Pressure right now?,access_governance,Lynk & Co,09 Ultra,2023,Tyre Pressure
does CANBUS need HEAD acoustics for collection?,collection_method,Volvo,EX30,2023,CANBUS
what TPMS means for car 08 EM-P?,data_definition,Lynk & Co,08 EM-P,2023,TPMS
roof rig needed for tpms,collection_method,Jiyue,07,2024,TPMS
is lidar still being recorded for eletre,temporal_stats,Lotus,Eletre,2023,LIDAR
since when Control Network collected Lynk & Co?,temporal_stats,Lynk & Co,01,2019,Control Network
common range for Trunk sensor in Zeekr,statistical_query,Zeekr,7X,2024,Trunk sensor
Who has access to CAN-FD logs for Jiyue?,access_governance,Jiyue,01,2025,CAN-FD
collected after release for XC90?,collection_method,Volvo,XC90,2020,Acoustics
status of Autonomous sensor collection in Polestar,system_status_check,Polestar,Polestar 4,2024,Autonomous sensor
why HV battery data jump so much?,anomaly_info,Lynk & Co,01,2020,HV battery
is Evija Noisr and Vibration streaming?,collection_method,Lotus,Evija,2022,Noise and Vibration
is 007 nvh streaming,collection_method,Zeekr,007,2023,NVH
peak values CAN-FD EM90 last week,statistical_query,Volvo,EM90,2024,CAN-FD
peak values HV battery 07 last week,statistical_query,Jiyue,07,2025,HV battery
how Bonnet sensor works in Lynk & Co 08 EM-P?,data_definition,Lynk & Co,08 EM-P,2024,Bonnet sensor
pull Bonnet sensor history for 07,imperative_commands,Jiyue,07,2024,Bonnet sensor
pull Tire Pressure history for 08 EM-P,imperative_commands,Lynk & Co,08 EM-P,2025,Tire Pressure
is tire pressure data stream broken for emira,system_status_check,Lotus,Emira,2024,Tire Pressure
why bonnet sensor collection discontinued eletre,temporal_stats,Lotus,Eletre,2023,Bonnet sensor
LiDAR performance Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Emigrant,2023,LiDAR
Boot latch sensor history Jiyue,temporal_stats,Jiyue,07,2024,Boot latch sensor
any issues with Noise and Vibration logs today?,system_status_check,Lynk & Co,05,2023,Noise and Vibration
what is highest/lowest CAN-FD?,statistical_query,Volvo,V60 Recharge,2022,CAN-FD
to whom i speak for Traction battery access?,access_governance,Jiyue,01,2024,Traction battery
what about Noise and Vibration on the 01?,contextual_followups,Lynk & Co,01,2023,Noise and Vibration
difference in Autonomous sensor data for Volvo vs Volvo,comparative_analysis,Volvo,EX90,2024,Autonomous sensor
is Tyre Pressure still being recorded for Emira?,temporal_stats,Lotus,Emira,2022,Tyre Pressure
LoDAR performance Lotus vs Lotus,comparative_analysis,Lotus,Emira,2023,LiDAR
compare Lidar between 08 EM-P and Polestar 2,comparative_analysis,Lynk & Co,08 EM-P,2023,Lidar
get me Tyre Pressure stats for 01,imperative_commands,Lynk & Co,01,2023,Tyre Pressure
When did we start collecting NVH for Evija?,temporal_stats,Lotus,Evija,2021,NVH
check Jiyue Noise and Vibration database health,system_status_check,Jiyue,07,2024,Noise and Vibration
special attachments for Galaxy L7 ADAS Camera?,collection_method,Geely Auto,Galaxy L7,2025,ADAS Camera
status of Lidar collection in Volvo,system_status_check,Volvo,XC90,2015,Lidar
most freq Trunk sensor value,statistical_query,Lynk & Co,Z10,2025,Trunk sensor
difference in Vision system data for Lynk & Co vs Polestar,comparative_analysis,Lynk & Co,05,2025,Vision system
show Zeekr Tire Pressure owner now,imperative_commands,Zeekr,X,2024,Tire Pressure
last update time for Noise and Vibration,temporal_stats,Jiyue,01,2024,Noise and Vibration
average reading of control network emira,statistical_query,Lotus,Emira,2022,Control Network
explain LIDAR context in 01,data_definition,Jiyue,01,2023,LIDAR
TPMS history Lynk & Co,temporal_stats,Lynk & Co,01,2025,TPMS
is Eletre NVH streaming?,collection_method,Lotus,Eletre,2024,NVH
who has access to tire pressure logs for polestar,access_governance,Polestar,Polestar 4,2025,Tire Pressure
since when Tyre Pressure collected Lynk & Co?,temporal_stats,Lynk & Co,03 TCR,2020,Tyre Pressure
what about Noise and Vibration on the 05?,contextual_followups,Lynk & Co,05,2024,Noise and Vibration
HV battery description Polestar Polestar 5,data_definition,Polestar,Polestar 5,2025,HV battery
start date for noise and vibration logs 08 em-p,temporal_stats,Lynk & Co,08 EM-P,2024,Noise and Vibration
responsible person for Lidar Geely Auto,access_governance,Geely Auto,Panda Mini,2024,Lidar
must use Oxford RT3000 for Lotus data?,collection_method,Lotus,Emeya,2025,ADAS Camera
when stop High Voltage battery for Geely Auto?,temporal_stats,Geely Auto,Emigrant,2024,High Voltage battery
get me LIDAR stats for Galaxy L7,imperative_commands,Geely Auto,Galaxy L7,2025,LIDAR
show Polestar Trunk sensor owner now,imperative_commands,Polestar,Polestar 2,2025,Trunk sensor
how is noise and vibration data gathered for lynk & co,collection_method,Lynk & Co,05,2021,Noise and Vibration
diffrrence in Tire Pressure data for Jiyue vs Jiyue,comparative_analysis,Jiyue,07,2024,Tire Pressure
grt me LiDAR stats for Polestar 3,imperative_commands,Polestar,Polestar 3,2024,LiDAR
who is owner LIDAR data?,access_governance,Geely Auto,Starray,2025,LIDAR
average reading of Vision system EX90,statistical_query,Volvo,EX90,2026,Vision system
erratic ADAS Camera data in Geometry E,anomaly_info,Geely Auto,Geometry E,2022,ADAS Camera
does TPMS need CANoe hardware for collection?,collection_method,Lynk & Co,05,2025,TPMS
start date for LiDAR logs 07,temporal_stats,Jiyue,07,2024,LiDAR
get me Trunk sensor stats for V60 Recharge,imperative_commands,Volvo,V60 Recharge,2024,Trunk sensor
why Boot latch sensor spikes in Zeekr?,anomaly_info,Zeekr,007,2023,Boot latch sensor
whqt about HV battery on the 08 EM-P?,contextual_followups,Lynk & Co,08 EM-P,2025,HV battery
tell me more about TPMS context,contextual_followups,Polestar,Polestar 2,2021,TPMS
lqst update time for Vision system,temporal_stats,Polestar,Polestar 2,2020,Vision system
xame info but for Geely Auto Emigrant,contextual_followups,Geely Auto,Emigrant,2021,Acoustics
Boot latch sensor performance Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Panda Mini,2025,Boot latch sensor
qverage reading of Autonomous sensor 05,statistical_query,Lynk & Co,05,2025,Autonomous sensor
Tire Pressure performance Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Starray,2024,Tire Pressure
abnormal adas camera readings ex90,anomaly_info,Volvo,EX90,2026,ADAS Camera
what LiDAR means for car Polestar 4?,data_definition,Polestar,Polestar 4,2025,LiDAR
production vehicle logs for Jiyue Noise and Vibration?,collection_method,Jiyue,01,2023,Noise and Vibration
ADAS Camera history Geely Auto,temporal_stats,Geely Auto,Galaxy L7,2025,ADAS Camera
roof rig needed for High Voltage battery?,collection_method,Geely Auto,Emigrant,2022,High Voltage battery
does tyre pressure need micro-epsilon for collection,collection_method,Lotus,Eletre,2025,Tyre Pressure
who has access to bonnet sensor logs for geely auto,access_governance,Geely Auto,Panda Mini,2025,Bonnet sensor
last update time for Bonnet sensor,temporal_stats,Lotus,Emira,2024,Bonnet sensor
why Hood sensor spikes in Jiyue?,anomaly_info,Jiyue,01,2023,Hood sensor
what is Control Network average in Zeekr Mix?,statistical_query,Zeekr,Mix,2025,Control Network
compare LIDAR between Polestar 3 and Polestar 5,comparative_analysis,Polestar,Polestar 3,2024,LIDAR
erratic Bonnet sensor data in EM90,anomaly_info,Volvo,EM90,2025,Bonnet sensor
identify Tyre Pressure anomalies Volvo,anomaly_info,Volvo,EX90,2024,Tyre Pressure
fond outliers in HV battery dataset,imperative_commands,Zeekr,X,2025,HV battery
frequency of nvh errors polestar,anomaly_info,Polestar,Polestar 4,2024,NVH
permission for Starray Trunk sensor data,access_governance,Geely Auto,Starray,2023,Trunk sensor
outlier reason for Trunk sensor logs,anomaly_info,Polestar,Polestar 2,2025,Trunk sensor
Traction battery description Volvo S90,data_definition,Volvo,S90,2021,Traction battery
common range for Hood sensor in Geely Auto,statistical_query,Geely Auto,Coolray,2022,Hood sensor
is Vision system still being recorded for 03 TCR?,temporal_stats,Lynk & Co,03 TCR,2024,Vision system
identify High Voltage battery anomalies Jiyue,anomaly_info,Jiyue,07,2024,High Voltage battery
muxt use CANoe hardware for Jiyue data?,collection_method,Jiyue,07,2025,Vision system
is Lidar real-time or offline?,collection_method,Zeekr,001,2025,Lidar
is Trunk sensor more accurate in Emeya or 07?,comparative_analysis,Lotus,Emeya,2024,Trunk sensor
how is Control Network data gathered for Jiyue?,collection_method,Jiyue,01,2023,Control Network
what is CANBUS average in Zeekr 001?,statistical_query,Zeekr,001,2024,CANBUS
why CANBUS spikes in Geely Auto?,anomaly_info,Geely Auto,Starray,2024,CANBUS
is Tire Pressure more accurate in 4 or 4?,comparative_analysis,Polestar,Polestar 4,2024,Tire Pressure
tell me more about Traction battery context,contextual_followups,Volvo,S90,2016,Traction battery
When did we start collecting Traction battery for XC90?,temporal_stats,Volvo,XC90,2022,Traction battery
ADAS Camera performance Zeekr vs Volvo,comparative_analysis,Zeekr,009,2024,ADAS Camera
pull HV battery history for 01,imperative_commands,Jiyue,01,2023,HV battery
what is TPMS average in Geely Auto Coolray?,statistical_query,Geely Auto,Coolray,2023,TPMS
give me can-fd max min emira,statistical_query,Lotus,Emira,2023,CAN-FD
what NVH means for car 01?,data_definition,Jiyue,01,2025,NVH
pull hood sensor history for emigrant,imperative_commands,Geely Auto,Emigrant,2021,Hood sensor
who owns the Tire Pressure dataset?,access_governance,Volvo,EX90,2026,Tire Pressure
Traction battery history Jiyue,temporal_stats,Jiyue,07,2024,Traction battery
chrck Geely Auto Boot latch sensor database health,system_status_check,Geely Auto,Panda Mini,2025,Boot latch sensor
get me Hood sensor stats for Polestar 5,imperative_commands,Polestar,Polestar 5,2025,Hood sensor
is Trunk sensor data stream broken for 01?,system_status_check,Jiyue,01,2024,Trunk sensor
status of Hood sensor collection in Geely Auto,system_status_check,Geely Auto,Galaxy L7,2024,Hood sensor
permission for 01 CAN-FD data,access_governance,Jiyue,01,2025,CAN-FD
canbus glitching on z10,anomaly_info,Lynk & Co,Z10,2025,CANBUS
Tire Pressure description V60 Recharge,data_definition,Volvo,V60 Recharge,2024,Tire Pressure
show Lynk & Co ADAS Camrra owner now,imperative_commands,Lynk & Co,Z10,2024,ADAS Camera
is tire pressure still being recorded for emigrant,temporal_stats,Geely Auto,Emigrant,2022,Tire Pressure
is LiDAR more accurate in EX90 or EX90?,comparative_analysis,Volvo,EX90,2026,LiDAR
HV battery performance Jiyue vs Polestar,comparative_analysis,Jiyue,07,2024,HV battery
Is TPMS data live for Polestar 3?,collection_method,Polestar,Polestar 3,2024,TPMS
request access to Emira Trunk sensor,access_governance,Lotus,Emira,2022,Trunk sensor
difference in Autonomous sensor data for Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Starray,2025,Autonomous sensor
mean lidar across polestar fleet,statistical_query,Polestar,Polestar 2,2021,LIDAR
is lidar more accurate in 09 ultra or 09 ultra,comparative_analysis,Lynk & Co,09 Ultra,2024,LiDAR
responsible person for Lidar Volvo,access_governance,Volvo,V60 Recharge,2022,Lidar
Show me outliers for Acoustics in Geometry E,anomaly_info,Geely Auto,Geometry E,2023,Acoustics
High Voltage battery description Mix,data_definition,Zeekr,Mix,2024,High Voltage battery
what is highest/lowest NVH?,statistical_query,Lynk & Co,08 EM-P,2025,NVH
must use Kistler Wheels for Lotus data?,collection_method,Lotus,Emira,2023,LIDAR
why high voltage battery spikes in lotus,anomaly_info,Lotus,Eletre,2025,High Voltage battery
what is NVH average in Lotus Eletre?,statistical_query,Lotus,Eletre,2025,NVH
what about CANBUS on the Geometry E?,contextual_followups,Geely Auto,Geometry E,2022,CANBUS
pull Acouxtics history for Emeya,imperative_commands,Lotus,Emeya,2024,Acoustics
to whom i speak for Tyre Pressure access?,access_governance,Lotus,Emeya,2024,Tyre Pressure
Boot latch sensor glitching on Geometry E?,anomaly_info,Geely Auto,Geometry E,2023,Boot latch sensor
special attachments for panda mini vision system,collection_method,Geely Auto,Panda Mini,2023,Vision system
status of LiDAR collection in Lotus,system_status_check,Lotus,Evija,2024,LiDAR
any issues with Vision system logs today?,system_status_check,Lynk & Co,01,2025,Vision system
check jiyue can-fd database health,system_status_check,Jiyue,01,2025,CAN-FD
what about HV battery on the Starray?,contextual_followups,Geely Auto,Starray,2025,HV battery
is Traction battery data stream broken for 01?,system_status_check,Jiyue,01,2025,Traction battery
check volvo high voltage battery database health,system_status_check,Volvo,S90,2020,High Voltage battery
show Volvo Tire Pressure owner now,imperative_commands,Volvo,EX90,2025,Tire Pressure
show Lotus Noise and Vibration owner now,imperative_commands,Lotus,Emeya,2025,Noise and Vibration
erratic Vision system data in 009,anomaly_info,Zeekr,009,2022,Vision system
When did we start collecting Traction battery for Eletre?,temporal_stats,Lotus,Eletre,2024,Traction battery
common range for Noise and Vibration in Jiyue,statistical_query,Jiyue,07,2025,Noise and Vibration
who working on Lotus Acoustics right now?,access_governance,Lotus,Emira,2025,Acoustics
same info but for Lynk & Co 09 Ultra,contextual_followups,Lynk & Co,09 Ultra,2021,Vision system
Acoustics glitching on 2?,anomaly_info,Polestar,Polestar 2,2025,Acoustics
erratic Lidar data in Galaxy L7,anomaly_info,Geely Auto,Galaxy L7,2023,Lidar
check volvo lidar database health,system_status_check,Volvo,XC90,2015,LiDAR
why we use MDF4 for Acoustics?,data_definition,Polestar,Polestar 5,2026,Acoustics
what is Control Network average in Volvo XC90?,statistical_query,Volvo,XC90,2022,Control Network
abnormal Traction battery readings 007,anomaly_info,Zeekr,007,2024,Traction battery
tell me more about Vision system context,contextual_followups,Geely Auto,Starray,2022,Vision system
collected after release for Polestar 2?,collection_method,Polestar,Polestar 2,2022,NVH
how is Trunk sensor data gathered for Volvo?,collection_method,Volvo,XC60,2025,Trunk sensor
pull LiDAR history for 009,imperative_commands,Zeekr,009,2024,LiDAR
what is HV battery average in Lynk & Co Z10?,statistical_query,Lynk & Co,Z10,2025,HV battery
why vision system spikes in jiyue,anomaly_info,Jiyue,07,2025,Vision system
is Lidar data stream broken for 01?,system_status_check,Jiyue,01,2024,Lidar
Vision system glitching on Emira?,anomaly_info,Lotus,Emira,2025,Vision system
identify TPMS anomalies Lotus,anomaly_info,Lotus,Evija,2024,TPMS
why stop (autonomous sensor),contextual_followups,Lotus,Emira,2025,Autonomous sensor
status of Hood sensor collection in Zeekr,system_status_check,Zeekr,001,2021,Hood sensor
bad data points in Boot latch sensor 009,anomaly_info,Zeekr,009,2023,Boot latch sensor
bad data points in CAN-FD Evija,anomaly_info,Lotus,Evija,2024,CAN-FD
get me CANBUS stats for Geometry E,imperative_commands,Geely Auto,Geometry E,2023,CANBUS
avrrage reading of Hood sensor Polestar 5,statistical_query,Polestar,Polestar 5,2026,Hood sensor
